2400
(-10.000000, -10.000000, -1000.000000) (-10.000000, -10.000000, -1000.000000) (0.000000, 0.000000) 
(-9.000000, -10.000000, -810.000000) (-10.000000, -10.000000, -810.000000) (0.000000, 0.000000) 
(-10.000000, -9.000000, -900.000000) (-10.000000, -10.000000, -900.000000) (0.000000, 0.000000) 
(-10.000000, -9.000000, -900.000000) (-10.000000, -10.000000, -900.000000) (0.000000, 0.000000) 
(-9.000000, -10.000000, -810.000000) (-10.000000, -10.000000, -810.000000) (0.000000, 0.000000) 
(-9.000000, -9.000000, -729.000000) (-10.000000, -10.000000, -729.000000) (0.000000, 0.000000) 
(-10.000000, -9.000000, -900.000000) (-10.000000, -9.000000, -900.000000) (0.000000, 0.000000) 
(-9.000000, -9.000000, -729.000000) (-10.000000, -9.000000, -729.000000) (0.000000, 0.000000) 
(-10.000000, -8.000000, -800.000000) (-10.000000, -9.000000, -800.000000) (0.000000, 0.000000) 
(-10.000000, -8.000000, -800.000000) (-10.000000, -9.000000, -800.000000) (0.000000, 0.000000) 
(-9.000000, -9.000000, -729.000000) (-10.000000, -9.000000, -729.000000) (0.000000, 0.000000) 
(-9.000000, -8.000000, -648.000000) (-10.000000, -9.000000, -648.000000) (0.000000, 0.000000) 
(-10.000000, -8.000000, -800.000000) (-10.000000, -8.000000, -800.000000) (0.000000, 0.000000) 
(-9.000000, -8.000000, -648.000000) (-10.000000, -8.000000, -648.000000) (0.000000, 0.000000) 
(-10.000000, -7.000000, -700.000000) (-10.000000, -8.000000, -700.000000) (0.000000, 0.000000) 
(-10.000000, -7.000000, -700.000000) (-10.000000, -8.000000, -700.000000) (0.000000, 0.000000) 
(-9.000000, -8.000000, -648.000000) (-10.000000, -8.000000, -648.000000) (0.000000, 0.000000) 
(-9.000000, -7.000000, -567.000000) (-10.000000, -8.000000, -567.000000) (0.000000, 0.000000) 
(-10.000000, -7.000000, -700.000000) (-10.000000, -7.000000, -700.000000) (0.000000, 0.000000) 
(-9.000000, -7.000000, -567.000000) (-10.000000, -7.000000, -567.000000) (0.000000, 0.000000) 
(-10.000000, -6.000000, -600.000000) (-10.000000, -7.000000, -600.000000) (0.000000, 0.000000) 
(-10.000000, -6.000000, -600.000000) (-10.000000, -7.000000, -600.000000) (0.000000, 0.000000) 
